模板id;机型
19692;iPhone7,1,,iPhone7,2
38982;iPhone7,1,,iPhone7,2
25785;iPhone7,1,,iPhone7,2
31091;iPhone7,1,,iPhone7,2
27775;iPhone7,1,,iPhone7,2
24082;iPhone7,1
26433;iPhone7,1,,iPhone7,2
26435;iPhone7,1,,iPhone7,2
25425;iPhone7,1,,iPhone7,2
8192;OPPO_A57,,OPPO_A59s,,OPPO_A83
30977;iPhone7,1,,iPhone7,2
27457;iPhone7,1,,iPhone7,2
24358;iPhone7,1
44335;iPhone7,1,,iPhone7,2
33671;iPhone7,1,,iPhone7,2
31802;iPhone7,1,,iPhone7,2
26681;iPhone7,1,,iPhone7,2
26985;iPhone7,1,,iPhone7,2
26986;iPhone7,1,,iPhone7,2
26987;iPhone7,1,,iPhone7,2
26980;iPhone7,1,,iPhone7,2
27511;iPhone7,1,,iPhone7,2
26982;iPhone7,1,,iPhone7,2
27001;iPhone7,1,,iPhone7,2
42384;iPhone7,1,,iPhone7,2
29119;iPhone7,1,,iPhone7,2
26915;iPhone7,1,,iPhone7,2
44366;iPhone7,1,,iPhone7,2
27324;iPhone7,1,,iPhone7,2
24454;iPhone7,1
29838;iPhone7,1,,iPhone7,2
24457;iPhone7,1
26236;iPhone7,1,,iPhone7,2
24451;iPhone7,1
26234;iPhone7,1,,iPhone7,2
41371;iPhone7,1,,iPhone7,2
30965;iPhone7,1,,iPhone7,2
34179;iPhone7,1,,iPhone7,2
28155;iPhone7,1,,iPhone7,2
31765;iPhone7,1,,iPhone7,2
33359;iPhone7,1,,iPhone7,2
34176;iPhone7,1,,iPhone7,2
29536;iPhone7,1,,iPhone7,2
25653;iPhone7,1,,iPhone7,2
25643;iPhone7,1,,iPhone7,2
30503;iPhone7,1,,iPhone7,2
32057;iPhone7,1,,iPhone7,2
26320;iPhone7,1,,iPhone7,2
18126;iPhone9,2,,iPhone9,4
40730;iPhone7,1,,iPhone7,2
30502;iPhone7,1,,iPhone7,2
29080;iPhone7,1,,iPhone7,2
26286;iPhone7,1,,iPhone7,2
26281;iPhone7,1,,iPhone7,2
26280;iPhone7,1,,iPhone7,2
28305;iPhone7,1,,iPhone7,2
26679;iPhone7,1,,iPhone7,2
26448;iPhone7,1,,iPhone7,2
26775;iPhone7,1,,iPhone7,2
25999;iPhone7,1,,iPhone7,2
29246;iPhone7,1,,iPhone7,2
30507;iPhone7,1,,iPhone7,2
26446;iPhone7,1,,iPhone7,2
26676;iPhone7,1,,iPhone7,2
29243;iPhone7,1,,iPhone7,2
25990;iPhone7,1,,iPhone7,2
